Dossier;Voornaam;Naam;Geboortedatum;Leeftijd;CustomerType;E-mail
65/00;Frederic;Lemmens;28/10/1957;68;naturalPerson;frederic.lemmens@qollabi.com
377/00;Stijn;Lemmens;17/11/1959;66;naturalPerson;stijn.lemmens@qollabi.com
219/01;Godelieve;Lenaerts;16/12/1963;62;naturalPerson;godelieve.lenaerts@qollabi.com
26/00;Henri;Lenaerts;02/08/1938;87;naturalPerson;henri.lenaerts@qollabi.com
348/01;Anja;Leysen;24/05/1971;54;naturalPerson;anja.leysen@qollabi.com
458/00;Edouard;Leysen;08/02/1953;73;naturalPerson;edouard.leysen@qollabi.com
482/00;Leopold;Leysen;16/08/1956;69;naturalPerson;leopold.leysen@qollabi.com
219/00;Chris;Maes;24/11/1963;62;naturalPerson;chris.maes@qollabi.com
439/01;Vera;Maes;11/12/1952;73;naturalPerson;jeanpaul.devos@qollabi.com
138/01;Annick;Martens;30/04/1969;56;naturalPerson;annick.martens@qollabi.com
238/01;Rita;Martens;29/06/1946;79;naturalPerson;
471/00;Robert;Martens;09/01/1951;75;naturalPerson;
44/00;Rosette;Martens;26/07/1938;87;naturalPerson;
511/01;Hilde;Mertens;17/11/1966;59;naturalPerson;hilde.mertens@qollabi.com
324/02;Maurice;Mertens;25/07/1947;78;naturalPerson;marcella.vanacker@qollabi.com
321/00;Mounir;Mertens;01/02/1975;51;naturalPerson;mounir.mertens@qollabi.com
143/00;Anne;Michiels;17/12/1963;62;naturalPerson;anne.michiels@qollabi.com
344/00;Koen;Michiels;26/09/1967;58;naturalPerson;koen.michiels@qollabi.com
342/00;Frans;Moons;09/01/1944;82;naturalPerson;frans.moons@qollabi.com
61/01;Veronique;Moons;20/10/1969;56;naturalPerson;patrick.peters@qollabi.com
313/01;Nicole;Nijs;29/01/1959;67;naturalPerson;nicole.nijs@qollabi.com
423/00;Remi;Nijs;16/09/1954;71;naturalPerson;remi.nijs@qollabi.com
529/01;Hilde;Nuyts;28/04/1965;60;naturalPerson;hilde.nuyts@qollabi.com
105/00;Dominique;Pauwels;21/02/1972;54;naturalPerson;dominique.pauwels@qollabi.com
251/00;Willy;Peeraer;01/11/1941;84;naturalPerson;willy.peeraer@qollabi.com
219/02;Brigitta;Peeters;19/08/1959;66;naturalPerson;brigitta.peeters@qollabi.com
92/00;Diederik;Peeters;06/08/1964;61;naturalPerson;diederik.peeters@qollabi.com
335/00;Jan;Peeters;25/11/1964;61;naturalPerson;jan.peeters@qollabi.com
508/01;Kristien;Peeters;26/03/1956;70;naturalPerson;kristien.peeters@qollabi.com
181/01;Elvire;Peters;15/03/1944;82;naturalPerson;elvire.peters@qollabi.com
460/01;Paula;Peters;12/06/1939;86;naturalPerson;paula.peters@qollabi.com
213/01;Jeannine;Raes;18/07/1942;83;naturalPerson;jeannine.raes@qollabi.com
105/01;Kurt;Renard;02/01/1970;56;naturalPerson;kurt.renard@qollabi.com
194/00;Alphons;Rombouts;15/12/1941;84;naturalPerson;
256/01;Inge;Rombouts;26/05/1971;54;naturalPerson;inge.rombouts@qollabi.com
65/01;Gerda;Schepers;22/05/1959;66;naturalPerson;
364/01;Josiane;Schepers;24/09/1950;75;naturalPerson;josiane.schepers@qollabi.com
495/01;Bertha;Segers;26/02/1942;84;naturalPerson;jozef.brouwers@qollabi.com
508/00;Daniel;Segers;12/08/1951;74;naturalPerson;daniel.segers@qollabi.com
178/00;Jozef;Segers;06/01/1941;85;naturalPerson;
123/00;Guy;Sels;10/05/1953;72;naturalPerson;guy.sels@qollabi.com
10/01;Els;Smeets;29/03/1974;52;naturalPerson;els.smeets@qollabi.com
261/01;Noëlla;Smeets;12/11/1974;51;naturalPerson;nolla.smeets@qollabi.com
267/00;Vincent;Smeets;05/06/1972;53;naturalPerson;vincent.smeets@qollabi.com
355/01;Hilde;Stevens;23/02/1965;61;naturalPerson;hilde.stevens@qollabi.com
328/00;Pierre;Stevens;25/03/1939;87;naturalPerson;
252/00;Benjamin;Thijs;24/08/1965;60;naturalPerson;benjamin.thijs@qollabi.com
368/00;Daniel;Thijs;03/11/1955;70;naturalPerson;daniel.thijs@qollabi.com
413/01;Hilde;Thijs;15/07/1966;59;naturalPerson;hilde.thijs@qollabi.com
124/00;Jozef;Thijs;14/06/1951;74;naturalPerson;jozef.thijs@qollabi.com
225/01;Linda;Thijs;28/09/1959;66;naturalPerson;linda.thijs@qollabi.com
298/00;RUDI;Thijs;09/03/1957;69;naturalPerson;
14/00;Stefan;Thijs;12/05/1967;58;naturalPerson;stefan.thijs@qollabi.com
81/00;Stefan;Thijs;27/05/1970;55;naturalPerson;stefan.thijs2@qollabi.com
226/00;Dirk;Timmermans;13/11/1957;68;naturalPerson;dirk.timmermans@qollabi.com
51/01;Irène;Timmermans;17/04/1951;75;naturalPerson;irne.timmermans@qollabi.com
324/01;Marcella;Van Acker;05/03/1949;77;naturalPerson;marcella.vanacker@qollabi.com
486/00;Roger;Van Acker;23/03/1946;80;naturalPerson;roger.vanacker@qollabi.com
257/00;Wallace;Van Acker;04/11/1957;68;naturalPerson;
314/01;ANNE MARIE;Van Damme;09/06/1959;66;naturalPerson;dirk.bogaert@qollabi.com
453/00;Anita;Van Damme;21/08/1957;68;naturalPerson;anita.vandamme@qollabi.com
334/00;Daniel;Van Damme;25/04/1970;55;naturalPerson;daniel.vandamme@qollabi.com
239/00;Hendrik;Van Damme;03/06/1962;63;naturalPerson;hendrik.vandamme@qollabi.com
514/00;Peter;Van Damme;18/01/1967;59;naturalPerson;peter.vandamme@qollabi.com
107/00;Andre;Van Dyck;03/04/1933;93;naturalPerson;
391/01;Denise;Van Dyck;27/09/1953;72;naturalPerson;paul.vanhees@qollabi.com
303/00;Frank;Van Dyck;18/06/1967;58;naturalPerson;frank.vandyck@qollabi.com
327/00;Marc;Van Hees;05/07/1954;71;naturalPerson;marc.vanhees@qollabi.com
391/00;Paul;Van Hees;25/04/1953;72;naturalPerson;paul.vanhees@qollabi.com
136/01;Angele;Van Hoeck;03/01/1939;87;naturalPerson;angele.vanhoeck@qollabi.com
441/00;Anne;Van Hoeck;07/05/1951;74;naturalPerson;anne.vanhoeck@qollabi.com
442/00;Geert;Van Hoeck;05/08/1973;52;naturalPerson;geert.vanhoeck@qollabi.com
123/01;Vera;Van Hoeck;15/07/1954;71;naturalPerson;guy.sels@qollabi.com
79/00;Carl;Van den Berg;10/09/1968;57;naturalPerson;carl.vandenberg@qollabi.com
75/01;Margareta;Van den Berg;31/03/1970;56;naturalPerson;margareta.vandenberg@qollabi.com
435/00;Neville;Van den Berg;23/03/1972;54;naturalPerson;neville.vandenberg@qollabi.com
60/00;Emile;Vandenberghe;26/09/1941;84;naturalPerson;emile.vandenberghe@qollabi.com
270/00;Jan;Vandenberghe;14/05/1958;67;naturalPerson;jan.vandenberghe@qollabi.com
88/00;Pascal;Vandenberghe;25/02/1967;59;naturalPerson;pascal.vandenberghe@qollabi.com
269/00;Wilfried;Vandenberghe;22/08/1951;74;naturalPerson;wilfried.vandenberghe@qollabi.com
208/00;Xavier;Vandenberghe;30/11/1963;62;naturalPerson;xavier.vandenberghe@qollabi.com
336/00;Alfons;Vander Auwera;19/05/1953;72;naturalPerson;alfons.vanderauwera@qollabi.com
389/00;Johan;Vander Auwera;13/05/1973;52;naturalPerson;johan.vanderauwera@qollabi.com
9/00;Jozefina;Vander Auwera;24/08/1947;78;naturalPerson;jozefina.vanderauwera@qollabi.com
4/00;Maria Simonne;Vander Auwera;15/07/1936;89;naturalPerson;mariasimonne.vanderauwera@qollabi.com
355/04;Luc;Verhoeven;25/08/1960;65;naturalPerson;luc.verhoeven@qollabi.com
403/00;Patrick;Vermeersch;13/09/1964;61;naturalPerson;patrick.vermeersch@qollabi.com
408/00;José;Willems;15/10/1946;79;naturalPerson;jos.willems@qollabi.com
34/00;Luc;Willems;28/06/1959;66;naturalPerson;luc.willems@qollabi.com
312/00;Willy;Willems;20/03/1959;67;naturalPerson;willy.willems@qollabi.com
300/00;Geert;Wouters;02/04/1958;68;naturalPerson;geert.wouters@qollabi.com
235/01;Rita;Wouters;07/03/1956;70;naturalPerson;rita.wouters@qollabi.com
101/00;Roland;Wouters;19/04/1962;64;naturalPerson;roland.wouters@qollabi.com
