Dossier;Naam;Voornaam;Geboortedatum;Overlijdensdatum;Polis;Domein - Omschrijving;Polistype - Omschrijving;Product Template Name;Product Template ID;E-mail;Maatschappij;Natuurlijk/Rechtsp - Omschrijving
10/00;Aerts;Axel;29/05/1973;;3743974;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;;BALOISE INSURANCE;Natuurlijk persoon
10/00;Aerts;Axel;29/05/1973;;NCN400204934;BA particulieren;BA Privéleven;BA particulieren BA Privéleven ALLIANZ;BA particulieren BA Privéleven ALLIANZ;;ALLIANZ;Natuurlijk persoon
10/01;Smeets;Els;29/03/1974;;1032542;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;els.smeets@qollabi.com;DAS;Natuurlijk persoon
10/01;Smeets;Els;29/03/1974;;3959014;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;els.smeets@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
10/01;Smeets;Els;29/03/1974;;5127818;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;Leven en belegging Individueel Leven Klassiek (Tak 21) Cardif;els.smeets@qollabi.com;Cardif;Natuurlijk persoon
10/01;Smeets;Els;29/03/1974;;5U56532;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;els.smeets@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
10/01;Smeets;Els;29/03/1974;;7261924;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;els.smeets@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
14/00;Thijs;Stefan;12/05/1967;;1195362;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;stefan.thijs@qollabi.com;DAS;Natuurlijk persoon
14/00;Thijs;Stefan;12/05/1967;;5H79194;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;stefan.thijs@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
14/00;Thijs;Stefan;12/05/1967;;7088031;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;stefan.thijs@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
18/00;Renard;Filip;21/03/1962;;3D68965;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;filip.renard@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
18/00;Renard;Filip;21/03/1962;;64240963;BA particulieren;BA Privéleven;BA particulieren BA Privéleven AG INSURANCE;BA particulieren BA Privéleven AG INSURANCE;filip.renard@qollabi.com;AG INSURANCE;Natuurlijk persoon
18/00;Renard;Filip;21/03/1962;;64240987;Arbeidsongevallen en collectieve verzekeringen;AO huispersoneel;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;Arbeidsongevallen en collectieve verzekeringen AO huispersoneel AG INSURANCE;filip.renard@qollabi.com;AG INSURANCE;Natuurlijk persoon
18/00;Renard;Filip;21/03/1962;;7335687;Reis;Reisverzekeringen;Reis Reisverzekeringen ASSUDIS;Reis Reisverzekeringen ASSUDIS;filip.renard@qollabi.com;ASSUDIS;Natuurlijk persoon
18/02;Beta Partners;;;;1018341;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;filip.renard@qollabi.com;DAS;Rechtspersoon
18/02;Beta Partners;;;;208602271;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;filip.renard@qollabi.com;DKV Belgium;Rechtspersoon
18/02;Beta Partners;;;;27710669;Transport & marine;Verhuizingen;Transport & marine Verhuizingen BALOISE(ex-Fidea);Transport & marine Verhuizingen BALOISE(ex-Fidea);filip.renard@qollabi.com;BALOISE(ex-Fidea);Rechtspersoon
18/02;Beta Partners;;;;35594;Leven en belegging;Leven Collectief (Tak 21);Leven en belegging Leven Collectief (Tak 21) NN INSURANCE BELGIUM;Leven en belegging Leven Collectief (Tak 21) NN INSURANCE BELGIUM;filip.renard@qollabi.com;NN INSURANCE BELGIUM;Rechtspersoon
18/02;Beta Partners;;;;5848285;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;filip.renard@qollabi.com;BALOISE INSURANCE;Rechtspersoon
18/02;Beta Partners;;;;602503366;Auto;Vrachtwagens,V.E.R.(Vervoer Eigen Rek.);Auto Vrachtwagens,V.E.R.(Vervoer Eigen Rek.) AXA;Auto Vrachtwagens,V.E.R.(Vervoer Eigen Rek.) AXA;filip.renard@qollabi.com;AXA;Rechtspersoon
18/02;Beta Partners;;;;623666284;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik AXA;Auto Toerisme en Zaken, gemengd gebruik AXA;filip.renard@qollabi.com;AXA;Rechtspersoon
18/02;Beta Partners;;;;68000012386;Bijstand;Bijstand (CBFA 18);Bijstand Bijstand (CBFA 18) ALLIANZ  PARTNERS;Bijstand Bijstand (CBFA 18) ALLIANZ  PARTNERS;filip.renard@qollabi.com;ALLIANZ  PARTNERS;Rechtspersoon
18/02;Beta Partners;;;;705037104;Multi-takken;Multi-tak (Handel, kleine nijverheid, Manuele Beroepen);Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;filip.renard@qollabi.com;AXA;Rechtspersoon
18/02;Beta Partners;;;;816657323;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AXA;Brand eenvoudige risico's Brand ER - woonhuizen AXA;filip.renard@qollabi.com;AXA;Rechtspersoon
18/02;Beta Partners;;;;BCUD10905801;Leven en belegging;Individueel Leven i.v.m. Beleggingsfondsen (Tak 23);Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) ALLIANZ;Leven en belegging Individueel Leven i.v.m. Beleggingsfondsen (Tak 23) ALLIANZ;filip.renard@qollabi.com;ALLIANZ;Rechtspersoon
18/03;Helix Services;;;;2217941;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;filip.renard@qollabi.com;DAS;Rechtspersoon
18/03;Helix Services;;;;49411672;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;filip.renard@qollabi.com;AG INSURANCE;Rechtspersoon
18/03;Helix Services;;;;5W15429;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;filip.renard@qollabi.com;BALOISE INSURANCE;Rechtspersoon
18/03;Helix Services;;;;730599731;Multi-takken;Multi-tak (Handel, kleine nijverheid, Manuele Beroepen);Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;Multi-takken Multi-tak (Handel, kleine nijverheid, Manuele Beroepen) AXA;filip.renard@qollabi.com;AXA;Rechtspersoon
18/03;Helix Services;;;;7L79560;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;filip.renard@qollabi.com;BALOISE INSURANCE;Rechtspersoon
25/00;De Wolf;Rudy;28/09/1959;;827970;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;rudy.dewolf@qollabi.com;DAS;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;207864501;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;rudy.dewolf@qollabi.com;DKV Belgium;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;2795084;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;rudy.dewolf@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;7841137;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;rudy.dewolf@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;7M68787;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;rudy.dewolf@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;8088278;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;rudy.dewolf@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
25/00;De Wolf;Rudy;28/09/1959;;8088312;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;rudy.dewolf@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
26/00;Lenaerts;Henri;02/08/1938;;1089290;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;henri.lenaerts@qollabi.com;DAS;Natuurlijk persoon
26/00;Lenaerts;Henri;02/08/1938;;2665567;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen BALOISE INSURANCE;henri.lenaerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
26/00;Lenaerts;Henri;02/08/1938;;5342731;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;henri.lenaerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
26/00;Lenaerts;Henri;02/08/1938;;7768141;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;henri.lenaerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
26/00;Lenaerts;Henri;02/08/1938;;7768869;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;henri.lenaerts@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
27/00;Gillis;Nathalie;11/01/1979;;996542;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;nathalie.gillis@qollabi.com;DAS;Natuurlijk persoon
27/00;Gillis;Nathalie;11/01/1979;;11307176;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;nathalie.gillis@qollabi.com;AG INSURANCE;Natuurlijk persoon
27/00;Gillis;Nathalie;11/01/1979;;11316714;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;nathalie.gillis@qollabi.com;AG INSURANCE;Natuurlijk persoon
27/00;Gillis;Nathalie;11/01/1979;;71068944;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;nathalie.gillis@qollabi.com;AG INSURANCE;Natuurlijk persoon
27/00;Gillis;Nathalie;11/01/1979;;7992990;BA particulieren;BA Privéleven;BA particulieren BA Privéleven BALOISE INSURANCE;BA particulieren BA Privéleven BALOISE INSURANCE;nathalie.gillis@qollabi.com;BALOISE INSURANCE;Natuurlijk persoon
27/01;De Cock;Didier;18/11/1987;;11831374;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;nathalie.gillis@qollabi.com;AG INSURANCE;Natuurlijk persoon
27/01;De Cock;Didier;18/11/1987;;51995741;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;Brand eenvoudige risico's Brand ER - woonhuizen AG INSURANCE;nathalie.gillis@qollabi.com;AG INSURANCE;Natuurlijk persoon
27/02;Omega Invest;;;;3639850026;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/02;Omega Invest;;;;3780351694;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/02;Omega Invest;;;;3780432328;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/02;Omega Invest;;;;11317038;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/02;Omega Invest;;;;1275262;Individueel;Gewaarborgd inkomen;Individueel Gewaarborgd inkomen AG INSURANCE;Individueel Gewaarborgd inkomen AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/02;Omega Invest;;;;2506-048248;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;omegainvest@qollabi.com;NN INSURANCE BELGIUM;Rechtspersoon
27/02;Omega Invest;;;;8376275;Individueel;Hospitalisatie;Individueel Hospitalisatie AG INSURANCE;Individueel Hospitalisatie AG INSURANCE;omegainvest@qollabi.com;AG INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;3639839215;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;quantumconsulting@qollabi.com;AG INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;3780357152;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;quantumconsulting@qollabi.com;AG INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;3784032139;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;Leven en belegging Individueel Leven Klassiek (Tak 21) AG INSURANCE;quantumconsulting@qollabi.com;AG INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;11371699;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;quantumconsulting@qollabi.com;AG INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;1815310;Rechtsbijstand;Algemene rechtsbijstand (multi objecttype);Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;Rechtsbijstand Algemene rechtsbijstand (multi objecttype) DAS;quantumconsulting@qollabi.com;DAS;Rechtspersoon
27/03;Quantum Consulting;;;;2061897;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;2066446;Brand eenvoudige risico's;Bedrijfsschade;Brand eenvoudige risico's Bedrijfsschade BALOISE INSURANCE;Brand eenvoudige risico's Bedrijfsschade BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;2506-049456;Leven en belegging;Individueel Leven Klassiek (Tak 21);Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;Leven en belegging Individueel Leven Klassiek (Tak 21) NN INSURANCE BELGIUM;quantumconsulting@qollabi.com;NN INSURANCE BELGIUM;Rechtspersoon
27/03;Quantum Consulting;;;;3055841;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;3065138;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;3163558303;Leven en belegging;Leven Collectief (Tak 21);Leven en belegging Leven Collectief (Tak 21) BNP PARIBAS;Leven en belegging Leven Collectief (Tak 21) BNP PARIBAS;quantumconsulting@qollabi.com;BNP PARIBAS;Rechtspersoon
27/03;Quantum Consulting;;;;346400681;Individueel;Hospitalisatie;Individueel Hospitalisatie DKV Belgium;Individueel Hospitalisatie DKV Belgium;quantumconsulting@qollabi.com;DKV Belgium;Rechtspersoon
27/03;Quantum Consulting;;;;3640014;Brand eenvoudige risico's;Brand ER - handelshuizen;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;Brand eenvoudige risico's Brand ER - handelshuizen BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;4042600;Diversen;Alle Risico's Electronica;Diversen Alle Risico's Electronica BALOISE INSURANCE;Diversen Alle Risico's Electronica BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;5Q79567;Auto;Toerisme en Zaken, gemengd gebruik;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;Auto Toerisme en Zaken, gemengd gebruik BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;5U90024;Auto;Lichte Vrachtwagens;Auto Lichte Vrachtwagens BALOISE INSURANCE;Auto Lichte Vrachtwagens BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;7A91614;BA andere dan particulieren;BA Onderneming;BA andere dan particulieren BA Onderneming BALOISE INSURANCE;BA andere dan particulieren BA Onderneming BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;7L38461;Individueel;Verkeer & Inzittenden;Individueel Verkeer & Inzittenden BALOISE INSURANCE;Individueel Verkeer & Inzittenden BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
27/03;Quantum Consulting;;;;9743482;Arbeidsongevallen en collectieve verzekeringen;Arbeidsongevallen (Wet);Arbeidsongevallen en collectieve verzekeringen Arbeidsongevallen (Wet) BALOISE INSURANCE;Arbeidsongevallen en collectieve verzekeringen Arbeidsongevallen (Wet) BALOISE INSURANCE;quantumconsulting@qollabi.com;BALOISE INSURANCE;Rechtspersoon
28/00;Van Acker;Matthias;26/08/1986;;182207982610;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;matthias.vanacker@qollabi.com;AG INSURANCE;Natuurlijk persoon
28/00;Van Acker;Matthias;26/08/1986;;182255102883;Leven en belegging;Individueel Leven met vrije stortingen (Tak21-Universal Life;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;Leven en belegging Individueel Leven met vrije stortingen (Tak21-Universal Life AG INSURANCE;matthias.vanacker@qollabi.com;AG INSURANCE;Natuurlijk persoon
28/00;Van Acker;Matthias;26/08/1986;;212315422;Brand eenvoudige risico's;Brand ER - woonhuizen;Brand eenvoudige risico's Brand ER - woonhuizen VIVIUM;Brand eenvoudige risico's Brand ER - woonhuizen VIVIUM;matthias.vanacker@qollabi.com;VIVIUM;Natuurlijk persoon
28/00;Van Acker;Matthias;26/08/1986;;5503082829;Leven en belegging;Individueel Leven (Meerdere Takken);Leven en belegging Individueel Leven (Meerdere Takken) VIVIUM;Leven en belegging Individueel Leven (Meerdere Takken) VIVIUM;matthias.vanacker@qollabi.com;VIVIUM;Natuurlijk persoon
